epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.63791,1.76909,2.81201,2.49844,0.00222,1,0.04258,0.01454,1.4343,4.14777,3.1318,6e-05,6e-05,6e-05
2,5.17684,1.72741,2.80946,2.28169,0.00222,1,0.50944,0.28471,1.25275,4.0614,2.78244,0.000137228,0.000137228,0.000137228
3,7.50899,1.40494,3.00695,2.14439,0.00222,1,0.86329,0.42914,1.29802,4.01831,2.95189,0.000211288,0.000211288,0.000211288
4,9.92421,1.41477,2.58348,1.98319,0.00222,1,0.89782,0.40283,1.1898,3.92986,2.5299,0.00028218,0.00028218,0.00028218
5,12.2653,1.27318,2.03818,1.82267,0.00222,1,0.66948,0.48342,1.09189,3.8688,2.30193,0.000349904,0.000349904,0.000349904
6,14.5868,1.19576,2.2509,1.7099,0.00222,1,0.73847,0.48643,1.09411,3.86933,2.24713,0.00041446,0.00041446,0.00041446
7,16.9812,1.38891,2.77312,1.94579,0.00222,1,0.73847,0.48643,1.09411,3.86933,2.24713,0.000475848,0.000475848,0.000475848
8,19.5614,1.09566,1.98412,1.64922,0.03933,1,0.78817,0.4698,0.96636,3.82246,2.11554,0.000534068,0.000534068,0.000534068
9,22.1862,1.26162,3.04679,1.87744,0.03121,1,0.86905,0.48558,0.93411,3.87264,2.09926,0.00058912,0.00058912,0.00058912
10,24.7895,1.09977,2.08835,1.65861,0.03121,1,0.86905,0.48558,0.93411,3.87264,2.09926,0.000641004,0.000641004,0.000641004
11,27.2767,1.20352,2.0081,1.76663,1,0.49885,0.96167,0.45387,1.04515,3.63582,2.26158,0.00068972,0.00068972,0.00068972
12,29.6842,1.05318,1.90077,1.56034,1,0.49885,0.96167,0.45387,1.04515,3.63582,2.26158,0.000735268,0.000735268,0.000735268
13,32.2042,0.94047,1.74586,1.41858,1,0.99983,0.995,0.49675,1.26454,3.33416,2.67804,0.000777648,0.000777648,0.000777648
14,34.6902,1.07895,1.74264,1.48598,1,0.99983,0.995,0.49675,1.26454,3.33416,2.67804,0.00081686,0.00081686,0.00081686
15,37.2041,1.13941,2.17802,1.71684,0.87168,0.9,0.92192,0.68174,0.87677,3.17316,1.70015,0.000852904,0.000852904,0.000852904
16,39.6727,1.11569,2.02948,1.60453,0.87168,0.9,0.92192,0.68174,0.87677,3.17316,1.70015,0.00088578,0.00088578,0.00088578
17,42.042,1.15632,1.86891,1.66328,0.87168,0.9,0.92192,0.68174,0.87677,3.17316,1.70015,0.000915488,0.000915488,0.000915488
18,44.4751,1.35633,2.05693,2.02701,0.82953,0.8,0.91722,0.62058,1.05966,4.587,1.90499,0.000942028,0.000942028,0.000942028
19,46.7832,0.94109,1.89764,1.4942,0.82953,0.8,0.91722,0.62058,1.05966,4.587,1.90499,0.0009654,0.0009654,0.0009654
20,49.1524,1.02933,1.68334,1.59457,0.82953,0.8,0.91722,0.62058,1.05966,4.587,1.90499,0.000985604,0.000985604,0.000985604
21,51.6601,0.94212,1.46835,1.48457,0.82953,0.8,0.91722,0.62058,1.05966,4.587,1.90499,0.00100264,0.00100264,0.00100264
22,54.0791,1.10306,1.79074,1.66523,0.97666,0.9,0.94763,0.54313,1.27534,3.18709,2.4707,0.00101651,0.00101651,0.00101651
23,56.4317,0.97436,1.856,1.6634,0.97666,0.9,0.94763,0.54313,1.27534,3.18709,2.4707,0.00102721,0.00102721,0.00102721
24,58.7802,0.88281,1.83677,1.60969,0.97666,0.9,0.94763,0.54313,1.27534,3.18709,2.4707,0.00103474,0.00103474,0.00103474
25,61.2135,1.021,1.61659,1.51825,0.97666,0.9,0.94763,0.54313,1.27534,3.18709,2.4707,0.0010391,0.0010391,0.0010391
26,63.7237,0.94623,3.07836,1.50315,0.76997,0.9,0.89877,0.43956,1.31241,2.84574,2.45816,0.00101,0.00101,0.00101
27,66.2187,1.14284,1.80373,1.62315,0.76997,0.9,0.89877,0.43956,1.31241,2.84574,2.45816,0.0009704,0.0009704,0.0009704
28,68.8721,1.04388,1.91158,1.68546,0.76997,0.9,0.89877,0.43956,1.31241,2.84574,2.45816,0.0009308,0.0009308,0.0009308
29,71.3531,1.14188,2.10303,1.61903,0.76997,0.9,0.89877,0.43956,1.31241,2.84574,2.45816,0.0008912,0.0008912,0.0008912
30,73.8151,1.12654,1.69115,1.54599,0.96327,0.9,0.95056,0.65787,1.17832,2.45371,2.10936,0.0008516,0.0008516,0.0008516
31,76.2526,1.06353,1.88452,1.66729,0.96327,0.9,0.95056,0.65787,1.17832,2.45371,2.10936,0.000812,0.000812,0.000812
32,78.6709,0.91844,1.6315,1.39988,0.96327,0.9,0.95056,0.65787,1.17832,2.45371,2.10936,0.0007724,0.0007724,0.0007724
33,81.1777,1.04375,1.63331,1.51111,0.96327,0.9,0.95056,0.65787,1.17832,2.45371,2.10936,0.0007328,0.0007328,0.0007328
34,83.6176,0.91397,1.46516,1.41292,0.99755,1,0.995,0.71198,0.96018,2.34804,1.88515,0.0006932,0.0006932,0.0006932
35,86.22,0.93836,1.47755,1.43879,0.99755,1,0.995,0.71198,0.96018,2.34804,1.88515,0.0006536,0.0006536,0.0006536
36,88.6757,0.97833,1.88543,1.58062,0.99755,1,0.995,0.71198,0.96018,2.34804,1.88515,0.000614,0.000614,0.000614
37,91.1878,0.80127,1.45456,1.2892,0.99755,1,0.995,0.71198,0.96018,2.34804,1.88515,0.0005744,0.0005744,0.0005744
38,93.5129,0.85628,1.48636,1.43881,0.99395,1,0.995,0.68351,0.89936,2.49822,1.74335,0.0005348,0.0005348,0.0005348
39,95.8325,0.94325,1.73849,1.58715,0.99395,1,0.995,0.68351,0.89936,2.49822,1.74335,0.0004952,0.0004952,0.0004952
40,98.2257,0.75594,1.36154,1.4072,0.99395,1,0.995,0.68351,0.89936,2.49822,1.74335,0.0004556,0.0004556,0.0004556
41,100.583,0.79352,2.2615,1.62252,0.99395,1,0.995,0.68351,0.89936,2.49822,1.74335,0.000416,0.000416,0.000416
42,102.984,0.97041,2.42177,1.82679,0.99408,1,0.995,0.72128,0.78438,2.3325,1.54268,0.0003764,0.0003764,0.0003764
43,105.283,0.69614,2.28888,1.46922,0.99408,1,0.995,0.72128,0.78438,2.3325,1.54268,0.0003368,0.0003368,0.0003368
44,107.641,0.87926,2.18883,1.69209,0.99408,1,0.995,0.72128,0.78438,2.3325,1.54268,0.0002972,0.0002972,0.0002972
45,110.066,0.93971,2.307,1.71611,0.99408,1,0.995,0.72128,0.78438,2.3325,1.54268,0.0002576,0.0002576,0.0002576
46,112.477,0.63257,2.26616,1.32304,0.99427,1,0.995,0.6853,0.77406,2.35244,1.53738,0.000218,0.000218,0.000218
47,114.886,0.72786,1.97784,1.48593,0.99427,1,0.995,0.6853,0.77406,2.35244,1.53738,0.0001784,0.0001784,0.0001784
48,117.39,0.81485,2.2592,1.54571,0.99427,1,0.995,0.6853,0.77406,2.35244,1.53738,0.0001388,0.0001388,0.0001388
49,119.807,1.03807,2.48533,1.86491,0.99427,1,0.995,0.6853,0.77406,2.35244,1.53738,9.92e-05,9.92e-05,9.92e-05
50,122.435,0.88333,2.12576,1.77157,0.99431,1,0.995,0.67448,0.80213,2.27327,1.59435,5.96e-05,5.96e-05,5.96e-05
